DAYS_OUT,AGE,GAMES_PLAYED,GAMES_STARTED,MINUTES_PLAYED,HEIGHT,WEIGHT,POSITION,MPG,injuries_last_3,avg_days_out_last_3
16,22.0,14,0.0,81,87,220.0,Center-Forward,5.785714285714286,1,282.0
6,23.0,70,33.0,1505,87,220.0,Center-Forward,21.5,3,99.33333333333333
18,21.0,69,4.0,1310,74,169.0,Guard,18.985507246376812,0,0.0
33,22.0,42,1.0,820,74,169.0,Guard,19.523809523809526,3,6.0
6,19.0,79,40.0,2279,80,190.0,Forward,28.848101265822784,0,0.0
29,20.0,59,59.0,1975,80,190.0,Forward,33.47457627118644,1,6.0
14,21.0,52,52.0,1761,80,190.0,Forward,33.86538461538461,3,11.666666666666666
8,23.0,61,61.0,2092,80,190.0,Forward,34.295081967213115,3,14.333333333333334
53,24.0,55,55.0,1869,80,190.0,Forward,33.981818181818184,2,11.0
73,25.0,45,45.0,1538,80,190.0,Forward,34.17777777777778,6,10.166666666666666
24,21.0,63,61.0,2169,73,170.0,Guard,34.42857142857143,0,0.0
3,23.0,80,80.0,2897,73,170.0,Guard,36.2125,2,12.0
4,24.0,80,79.0,2728,73,170.0,Guard,34.1,3,9.0
153,26.0,23,1.0,416,73,170.0,Guard,18.08695652173913,2,3.5
30,27.0,58,11.0,1428,73,170.0,Guard,24.620689655172413,4,39.25
5,28.0,14,0.0,205,73,170.0,Guard,14.642857142857142,9,20.333333333333332
57,23.0,52,52.0,1688,74,182.0,Guard,32.46153846153846,0,0.0
2,25.0,54,5.0,1140,74,182.0,Guard,21.11111111111111,6,9.5
192,27.0,12,0.0,118,74,182.0,Guard,9.833333333333334,1,2.0
69,28.0,16,0.0,241,74,182.0,Guard,15.0625,10,19.4
4,30.0,5,0.0,65,74,182.0,Guard,13.0,18,14.5
8,27.0,64,2.0,576,76,200.0,Guard,9.0,0,0.0
22,22.0,57,55.0,2015,78,211.0,Guard,35.35087719298246,0,0.0
11,24.0,78,78.0,2903,78,211.0,Guard,37.217948717948715,1,22.0
12,25.0,65,65.0,2419,78,211.0,Guard,37.215384615384615,2,16.5
50,26.0,47,23.0,1310,78,211.0,Guard,27.872340425531913,2,11.5
3,23.0,75,19.0,1803,78,225.0,Guard-Forward,24.04,0,0.0
